duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature_1,time_signature_3,time_signature_4,time_signature_5
175919,1,0.329,0.835,-5.418,1,0.175,0.0154,0.019,0.131,0.188,92.511,0.0,1.0,0.0,0.0
232800,0,0.71,0.882,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,0.0,0.0,1.0,0.0
198692,0,0.718,0.59,-4.862,1,0.0299,0.539,0.0,0.341,0.48,130.071,0.0,1.0,0.0,0.0
408826,0,0.312,0.431,-7.23,1,0.0296,0.191,0.00107,0.124,0.287,139.542,0.0,0.0,1.0,0.0
203428,1,0.863,0.611,-9.613,1,0.158,0.00347,0.000159,0.0865,0.0518,104.959,0.0,0.0,1.0,0.0
313653,0,0.543,0.927,-4.374,0,0.0361,0.00741,0.0,0.167,0.517,130.955,0.0,0.0,1.0,0.0
241066,0,0.704,0.804,-5.924,1,0.0434,0.0187,0.0,0.0834,0.556,127.004,0.0,0.0,1.0,0.0
262560,0,0.414,0.369,-9.606,1,0.0262,0.453,0.501,0.0985,0.17,96.722,0.0,1.0,0.0,0.0
173652,0,0.763,0.871,-5.712,1,0.0359,0.429,0.0,0.866,0.904,114.934,0.0,0.0,1.0,0.0
219733,0,0.228,0.729,-5.264,0,0.0635,0.0955,0.00161,0.102,0.229,199.97,0.0,0.0,1.0,0.0
225653,1,0.907,0.592,-6.44,0,0.0858,0.532,0.0,0.289,0.545,108.052,0.0,0.0,1.0,0.0
258920,0,0.515,0.876,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,0.0,0.0,1.0,0.0
205386,0,0.464,0.225,-9.155,1,0.0403,0.587,5.64e-06,0.116,0.214,84.677,0.0,0.0,1.0,0.0
186240,0,0.79,0.907,-3.448,0,0.188,0.032,0.825,0.126,0.581,125.102,0.0,0.0,1.0,0.0
212476,0,0.461,0.591,-5.838,1,0.0496,0.463,0.0,0.05,0.354,99.826,0.0,0.0,1.0,0.0
